id,legacy_id,type,batching_type,is_serial_numbered,service_id,dropshipping_type,sync_stock,include_component_stock_level,fulfilment_client_id,sku,secondary_sku,sku_hash,vendor_sku,chapi_id,stock_level,stock_level_open,stock_level_global_available,stock_level_available,stock_warn_level,item_barcode,item_barcode_2,item_barcode_3,item_barcode_4,item_barcode_5,thumbnail_url,single_parcel_per_item,name,product_weight,product_height,product_width,product_length,product_box_type,product_box_quantity,picking_by_packaging,default_packaging_id,description,country_of_origin,hs_code,customs_description,unit_price,cost_price,shipping_service_id,zone,multiplier,include_po_stock,custom_fields,dynamic_components_type,is_archived,archived_sync_stock,temp_image_url,ghost_asset,master_dropshipping,include_po_level,fabric_content,low_stock_email_sent_time,vat_rate_percentage,stock_update_scheduled_at,created_at,updated_at,dont_sync_until,assembly_notes,customs_value,locations,image,images,accounting_options
1795,,1,0,0,,0,0,0,1,YL03,,ae7114eb6f7a225ab118f3fe0c5e4114,,a94e56f0-994b-44a7-b889-3c809d8e0f71,0,21,-21,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/1795.jpg?v=1784063993,0,"Romain - Yummy Limited, Issue Two (Limited Edition Book Series) - Book + Additional Dust Jacket",0.000,0.0,0.0,0.0,1,1,0,0,,,,,0.0000,,0,,1,0,{},0,0,,,1,0,0,,0,20.0000,,2025-12-03 21:54:08,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/1795.jpg?v=1784063993,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/16b0b9679580c705d5c5dd55460cf13af1ba9c02/dl_image_4LXqOd_1784063989.jpg""]",[]
2563,,1,0,0,,0,1,0,1,MSPC-2026,,f74dc3872747c3feeb930ec692c1119d,,8da70705-86a6-4080-8542-c8e74cc3ef41,0,26,-26,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2563.jpg?v=1784299790,0,MIDSUMMER — Boxed A5 Art Print Collection (30 Fine Art Prints) MIDSUMMER Boxed A5 Postcard Collection (30 Art Prints),0.500,0.0,0.0,0.0,1,1,0,0,,GB,490900,,42.5000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-17 15:48:04,2026-06-24 21:48:36,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2563.jpg?v=1784299790,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/51ee1b16c5bb0c180c3b47dcf0912be2854c72da/dl_image_xZVjbf_1784299694.jpg""]",[]
2336,,1,0,0,,0,1,0,1,Y12-AG,,9decc59a4f50a1f1fc98362a347a913a,,a4d145f0-1f01-4239-bf2a-9c0f6a6c2391,0,126,-126,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2336.jpg?v=1784219059,0,Yummy Issue Twelve Aiden Githens,1.800,0.0,0.0,0.0,1,1,0,0,,GB,490290,,70.0000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-16 17:24:01,2026-03-21 19:15:24,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2336.jpg?v=1784219059,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/de463c3d24197595271c4493e19d2780059f23a5/dl_image_sgxof4_1784219056.jpg""]",[]
2629,,1,0,0,,0,1,0,8,43702863009476,,081f4dfd8140818399b48779e7bdb5fa,,94353355-8d15-4007-a4d3-475406780d94,0,1,-1,0,0,199874698540,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2629.png?v=1784130060,0,"One Size Crinkle Swimsuit, Maternity & Postpartum - Metallic Cinnamon",0.250,0.0,0.0,0.0,1,1,0,0,,GB,,,169.9000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-15 18:31:26,2026-07-06 20:24:29,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2629.png?v=1784130060,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/bed2832568c513459905662ba3f34f61485cb981/dl_image_QdPtIl_1784130052.png""]",[]
2633,,1,0,0,,0,1,0,8,072026HWPortBikBLK,,509c9abe3609d9b79b527b0becdfac8a,,552df9f3-a40c-447a-8dcb-cbc7d4d66e56,0,3,-3,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2633.png?v=1784269641,0,"One Size Crinkle Bikini Set - Portofino Top with Tortoise Shell Hoop - High Waisted Bottoms - Maternity, Postpartum & Beyond Midnight Black",0.000,0.0,0.0,0.0,1,1,0,0,,,,,190.0000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-17 07:27:25,2026-07-06 20:24:29,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2633.png?v=1784269641,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/58d9d45ac4b2697ccda6d5869107f7c310a78d68/dl_image_5PtaWu_1784269635.png""]",[]
2427,,1,0,0,,0,0,0,4,PS-FS-BP-BK-04,,89e07e518329f30f9c982b917f426f7e,,c45c6190-ade3-4b77-a611-4e5bb1a985f2,0,25,-25,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2427.jpg?v=1784415638,0,PRE-ORDER Pioneer Sports Hoof Boots Pair SLIM - 04 SLIM,0.000,0.0,0.0,0.0,5,1,0,0,,,,,0.0000,,0,,1,0,{},0,0,,,1,0,0,,0,20.0000,,2026-05-21 20:00:13,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2427.jpg?v=1784415638,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/1fb4e02948db7bd0cc4233f2c93db1788f33f722/dl_image_OzFoAO_1784415629.jpg""]",[]
2428,,1,0,0,,0,0,0,4,PS-FS-BP-BK-06,,e456a6192268be46495bc88fc9ea0172,,da1716fe-7044-4b94-90c3-eb9e0d9f8215,0,14,-14,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2428.jpg?v=1784402268,0,PRE-ORDER Pioneer Sports Hoof Boots Pair SLIM - 06 SLIM,0.000,0.0,0.0,0.0,1,1,0,0,,,,,0.0000,,0,,1,0,{},0,0,,,1,0,0,,0,20.0000,,2026-05-21 20:21:16,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2428.jpg?v=1784402268,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/5e87412d41fb641bbc505a6812cc789252a81cc5/dl_image_fZTZMn_1784402201.jpg""]",[]
2429,,1,0,0,,0,0,0,4,PS-FS-BP-BK-05,,085f6b49b8560c9a898bb599ddbec7c0,,5caf570e-0e6e-4728-a5f8-ccddfa5ccf6b,0,15,-15,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2429.jpg?v=1784233188,0,PRE-ORDER Pioneer Sports Hoof Boots Pair SLIM - 05 SLIM,0.000,0.0,0.0,0.0,5,1,0,0,,,,,0.0000,,0,,1,0,{},0,0,,,1,0,0,,0,20.0000,,2026-05-21 20:21:16,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2429.jpg?v=1784233188,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/b1847f989d2c062bfd2cd9b1c75256d65e35546d/dl_image_d4emvC_1784233183.jpg""]",[]
2430,,1,0,0,,0,1,0,1,Y12-RD,,bfe9c403ba6ce389182c9b20a0f34978,,bcd53c2c-8870-4a62-a999-6d67fee2c9a5,0,57,-57,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2430.jpg?v=1784256496,0,YUMMY | ISSUE TWELVE Reuben Doney,0.000,0.0,0.0,0.0,1,1,0,0,,GB,490290,,70.0000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-17 03:48:13,2026-05-21 21:12:20,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2430.jpg?v=1784256496,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/9d085d75473ba2b45a9b369657539b2339364011/dl_image_a25LeG_1784256496.jpg""]",[]
2431,,1,0,0,,0,1,0,4,PS-FS-BP-BK-03,,6be7a4e047c9eecf8a7810374950d2b2,,b338fe7f-bdaf-4067-a14c-fcab893de191,0,12,-12,0,0,,,,,,https://makeandsupplyltd.myhelm.app/storage/thumbnails/2431.jpg?v=1784281797,0,PRE-ORDER Pioneer Sports Hoof Boots Pair SLIM (03 SLIM),1.200,0.0,0.0,0.0,5,1,0,0,,,,,230.4000,,0,,1,0,{},0,0,,,0,0,0,,0,20.0000,2026-07-17 10:48:15,2026-05-21 21:33:39,2026-07-19 05:54:31,,,,[],https://makeandsupplyltd.myhelm.app/storage/thumbnails/2431.jpg?v=1784281797,"[""https://s3.eu-central-003.backblazeb2.com/helm-public/inventory-uploads/1ff0df0bcd79eea1189ee0047f09d04f1fca13f9/dl_image_NCkk1g_1784281699.jpg""]",[]
